Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-3.200e-02,-2.78
-3.197e-02,-2.74
-3.194e-02,-2.7
-3.190e-02,-2.7
-3.187e-02,-2.66
-3.184e-02,-2.62
-3.181e-02,-2.62
-3.178e-02,-2.58
-3.174e-02,-2.58
-3.171e-02,-2.54
-3.168e-02,-2.5
-3.165e-02,-2.46
-3.162e-02,-2.42
-3.158e-02,-2.38
-3.155e-02,-2.38
-3.152e-02,-2.34
-3.149e-02,-2.3
-3.146e-02,-2.26
-3.142e-02,-2.22
-3.139e-02,-2.18
-3.136e-02,-2.14
-3.133e-02,-2.1
-3.130e-02,-2.06
-3.126e-02,-2.02
-3.123e-02,-1.98
-3.120e-02,-1.98
-3.117e-02,-1.9
-3.114e-02,-1.86
-3.110e-02,-1.82
-3.107e-02,-1.78
-3.104e-02,-1.74
-3.101e-02,-1.7
-3.098e-02,-1.66
-3.094e-02,-1.58
-3.091e-02,-1.54
-3.088e-02,-1.5
-3.085e-02,-1.46
-3.082e-02,-1.38
-3.078e-02,-1.34
-3.075e-02,-1.3
-3.072e-02,-1.22
-3.069e-02,-1.18
-3.066e-02,-1.18
-3.062e-02,-1.1
-3.059e-02,-1.02
-3.056e-02,-0.98
-3.053e-02,-0.94
-3.050e-02,-0.86
-3.046e-02,-0.86
-3.043e-02,-0.78
-3.040e-02,-0.74
-3.037e-02,-0.66
-3.034e-02,-0.62
-3.030e-02,-0.54
-3.027e-02,-0.5
-3.024e-02,-0.42
-3.021e-02,-0.38
-3.018e-02,-0.34
-3.014e-02,-0.26
-3.011e-02,-0.18
-3.008e-02,-0.14
-3.005e-02,-0.1
-3.002e-02,-0.02
-2.998e-02,0.02
-2.995e-02,0.06
-2.992e-02,0.14
-2.989e-02,0.18
-2.986e-02,0.26
-2.982e-02,0.3
-2.979e-02,0.34
-2.976e-02,0.42
-2.973e-02,0.46
-2.970e-02,0.54
-2.966e-02,0.58
-2.963e-02,0.62
-2.960e-02,0.66
-2.957e-02,0.74
-2.954e-02,0.78
-2.950e-02,0.86
-2.947e-02,0.9
-2.944e-02,0.98
-2.941e-02,1.02
-2.938e-02,1.06
-2.934e-02,1.1
-2.931e-02,1.18
-2.928e-02,1.22
-2.925e-02,1.26
-2.922e-02,1.3
-2.918e-02,1.38
-2.915e-02,1.42
-2.912e-02,1.46
-2.909e-02,1.5
-2.906e-02,1.54
-2.902e-02,1.62
-2.899e-02,1.66
-2.896e-02,1.7
-2.893e-02,1.74
-2.890e-02,1.78
-2.886e-02,1.82
-2.883e-02,1.86
-2.880e-02,1.9
-2.877e-02,1.98
-2.874e-02,2.02
-2.870e-02,2.06
-2.867e-02,2.06
-2.864e-02,2.14
-2.861e-02,2.14
-2.858e-02,2.18
-2.854e-02,2.22
-2.851e-02,2.26
-2.848e-02,2.3
-2.845e-02,2.34
-2.842e-02,2.38
-2.838e-02,2.38
-2.835e-02,2.42
-2.832e-02,2.46
-2.829e-02,2.5
-2.826e-02,2.5
-2.822e-02,2.54
-2.819e-02,2.58
-2.816e-02,2.58
-2.813e-02,2.62
-2.810e-02,2.62
-2.806e-02,2.66
-2.803e-02,2.66
-2.800e-02,2.7
-2.797e-02,2.7
-2.794e-02,2.74
-2.790e-02,2.74
-2.787e-02,2.74
-2.784e-02,2.78
-2.781e-02,2.78
-2.778e-02,2.78
-2.774e-02,2.78
-2.771e-02,2.82
-2.768e-02,2.82
-2.765e-02,2.82
-2.762e-02,2.82
-2.758e-02,2.82
-2.755e-02,2.86
-2.752e-02,2.86
-2.749e-02,2.86
-2.746e-02,2.86
-2.742e-02,2.82
-2.739e-02,2.82
-2.736e-02,2.82
-2.733e-02,2.82
-2.730e-02,2.82
-2.726e-02,2.82
-2.723e-02,2.78
-2.720e-02,2.78
-2.717e-02,2.78
-2.714e-02,2.78
-2.710e-02,2.74
-2.707e-02,2.74
-2.704e-02,2.74
-2.701e-02,2.7
-2.698e-02,2.7
-2.694e-02,2.66
-2.691e-02,2.66
-2.688e-02,2.62
-2.685e-02,2.62
-2.682e-02,2.58
-2.678e-02,2.54
-2.675e-02,2.54
-2.672e-02,2.5
-2.669e-02,2.5
-2.666e-02,2.46
-2.662e-02,2.42
-2.659e-02,2.38
-2.656e-02,2.38
-2.653e-02,2.34
-2.650e-02,2.3
-2.646e-02,2.26
-2.643e-02,2.22
-2.640e-02,2.22
-2.637e-02,2.14
-2.634e-02,2.14
-2.630e-02,2.1
-2.627e-02,2.06
-2.624e-02,2.02
-2.621e-02,1.98
-2.618e-02,1.94
-2.614e-02,1.9
-2.611e-02,1.86
-2.608e-02,1.82
-2.605e-02,1.78
-2.602e-02,1.7
-2.598e-02,1.66
-2.595e-02,1.62
-2.592e-02,1.58
-2.589e-02,1.5
-2.586e-02,1.46
-2.582e-02,1.42
-2.579e-02,1.38
-2.576e-02,1.3
-2.573e-02,1.26
-2.570e-02,1.22
-2.566e-02,1.18
-2.563e-02,1.1
-2.560e-02,1.06
-2.557e-02,1.02
-2.554e-02,0.98
-2.550e-02,0.9
-2.547e-02,0.86
-2.544e-02,0.82
-2.541e-02,0.74
-2.538e-02,0.7
-2.534e-02,0.66
-2.531e-02,0.62
-2.528e-02,0.54
-2.525e-02,0.46
-2.522e-02,0.42
-2.518e-02,0.38
-2.515e-02,0.3
-2.512e-02,0.22
-2.509e-02,0.18
-2.506e-02,0.14
-2.502e-02,0.1
-2.499e-02,0.02
-2.496e-02,-0.02
-2.493e-02,-0.1
-2.490e-02,-0.14
-2.486e-02,-0.22
-2.483e-02,-0.26
-2.480e-02,-0.3
-2.477e-02,-0.38
-2.474e-02,-0.42
-2.470e-02,-0.46
-2.467e-02,-0.54
-2.464e-02,-0.58
-2.461e-02,-0.66
-2.458e-02,-0.7
-2.454e-02,-0.78
-2.451e-02,-0.82
-2.448e-02,-0.86
-2.445e-02,-0.9
-2.442e-02,-0.98
-2.438e-02,-1.02
-2.435e-02,-1.06
-2.432e-02,-1.14
-2.429e-02,-1.22
-2.426e-02,-1.26
-2.422e-02,-1.3
-2.419e-02,-1.34
-2.416e-02,-1.38
-2.413e-02,-1.46
-2.410e-02,-1.5
-2.406e-02,-1.54
-2.403e-02,-1.58
-2.400e-02,-1.62
-2.397e-02,-1.7
-2.394e-02,-1.74
-2.390e-02,-1.78
-2.387e-02,-1.82
-2.384e-02,-1.86
-2.381e-02,-1.9
-2.378e-02,-1.94
-2.374e-02,-1.98
-2.371e-02,-2.02
-2.368e-02,-2.06
-2.365e-02,-2.1
-2.362e-02,-2.14
-2.358e-02,-2.18
-2.355e-02,-2.26
-2.352e-02,-2.26
-2.349e-02,-2.3
-2.346e-02,-2.34
-2.342e-02,-2.38
-2.339e-02,-2.38
-2.336e-02,-2.46
-2.333e-02,-2.46
-2.330e-02,-2.5
-2.326e-02,-2.54
-2.323e-02,-2.58
-2.320e-02,-2.58
-2.317e-02,-2.62
-2.314e-02,-2.66
-2.310e-02,-2.66
-2.307e-02,-2.7
-2.304e-02,-2.7
-2.301e-02,-2.74
-2.298e-02,-2.78
-2.294e-02,-2.78
-2.291e-02,-2.82
-2.288e-02,-2.82
-2.285e-02,-2.82
-2.282e-02,-2.86
-2.278e-02,-2.86
-2.275e-02,-2.86
-2.272e-02,-2.86
-2.269e-02,-2.9
-2.266e-02,-2.9
-2.262e-02,-2.9
-2.259e-02,-2.9
-2.256e-02,-2.94
-2.253e-02,-2.94
-2.250e-02,-2.94
-2.246e-02,-2.94
-2.243e-02,-2.94
-2.240e-02,-2.94
-2.237e-02,-2.94
-2.234e-02,-2.94
-2.230e-02,-2.9
-2.227e-02,-2.9
-2.224e-02,-2.9
-2.221e-02,-2.86
-2.218e-02,-2.86
-2.214e-02,-2.86
-2.211e-02,-2.86
-2.208e-02,-2.82
-2.205e-02,-2.82
-2.202e-02,-2.78
-2.198e-02,-2.78
-2.195e-02,-2.74
-2.192e-02,-2.7
-2.189e-02,-2.7
-2.186e-02,-2.66
-2.182e-02,-2.62
-2.179e-02,-2.62
-2.176e-02,-2.58
-2.173e-02,-2.54
-2.170e-02,-2.54
-2.166e-02,-2.5
-2.163e-02,-2.46
-2.160e-02,-2.42
-2.157e-02,-2.38
-2.154e-02,-2.34
-2.150e-02,-2.3
-2.147e-02,-2.3
-2.144e-02,-2.22
-2.141e-02,-2.18
-2.138e-02,-2.14
-2.134e-02,-2.14
-2.131e-02,-2.1
-2.128e-02,-2.06
-2.125e-02,-2.02
-2.122e-02,-1.98
-2.118e-02,-1.94
-2.115e-02,-1.9
-2.112e-02,-1.82
-2.109e-02,-1.78
-2.106e-02,-1.74
-2.102e-02,-1.7
-2.099e-02,-1.66
-2.096e-02,-1.62
-2.093e-02,-1.58
-2.090e-02,-1.54
-2.086e-02,-1.46
-2.083e-02,-1.42
-2.080e-02,-1.38
-2.077e-02,-1.34
-2.074e-02,-1.26
-2.070e-02,-1.22
-2.067e-02,-1.18
-2.064e-02,-1.1
-2.061e-02,-1.06
-2.058e-02,-1.02
-2.054e-02,-0.94
-2.051e-02,-0.9
-2.048e-02,-0.86
-2.045e-02,-0.82
-2.042e-02,-0.74
-2.038e-02,-0.7
-2.035e-02,-0.62
-2.032e-02,-0.58
-2.029e-02,-0.54
-2.026e-02,-0.46
-2.022e-02,-0.42
-2.019e-02,-0.34
-2.016e-02,-0.3
-2.013e-02,-0.26
-2.010e-02,-0.18
-2.006e-02,-0.14
-2.003e-02,-0.06
-2.000e-02,-0.02
-1.997e-02,0.02
-1.994e-02,0.1
-1.990e-02,0.18
-1.987e-02,0.22
-1.984e-02,0.26
-1.981e-02,0.34
-1.978e-02,0.38
-1.974e-02,0.46
-1.971e-02,0.5
-1.968e-02,0.54
